_10_14_mcg_dl,_15_19_mcg_dl,_2000_population_of_children_6_and_under,_20_24_mcg_dl,_25_44_mcg_dl,_45_mcg_dl,county,total_tested,lrate1,lrate2,lrate3,lrate4,lrate5,lscore,Year
5,1,1134,2,0,0,Lawrence,424,11.79245283,2.358490566,4.716981132,0,0,24.76415094,2005
9,3,2546,2,0,0,Lee,323,27.86377709,9.287925697,6.191950464,0,0,54.17956656,2005
16,3,3500,2,1,0,Livingston,720,22.22222222,4.166666667,2.777777778,1.388888889,0,38.19444444,2005
6,0,2246,0,1,0,Logan,356,16.85393258,0,0,2.808988764,0,25.28089888,2005
6,1,1848,1,1,0,McDonough,348,17.24137931,2.873563218,2.873563218,2.873563218,0,35.91954023,2005
10,4,29768,3,2,0,McHenry,1756,5.69476082,2.277904328,1.708428246,1.138952164,0,15.9453303,2005
20,4,13918,1,3,0,McLean,1929,10.36806636,2.073613271,0.518403318,1.555209953,0,19.18092276,2005
124,28,9868,13,5,1,Macon,3008,41.22340426,9.308510638,4.321808511,1.662234043,0.332446809,70.4787234,2005
7,4,3897,2,0,0,Macoupin,554,12.63537906,7.220216606,3.610108303,0,0,30.68592058,2005
35,4,22293,4,6,0,Madison,2389,14.65048137,1.674340728,1.674340728,2.511511093,0,28.0452072,2005
7,4,3439,2,0,0,Marion,634,11.04100946,6.309148265,3.154574132,0,0,26.81388013,2005
1,1,981,0,1,0,Marshall,112,8.928571429,8.928571429,0,8.928571429,0,49.10714286,2005
2,3,1314,1,1,0,Mason,164,12.19512195,18.29268293,6.097560976,6.097560976,0,70.12195122,2005
2,0,1349,0,0,0,Massac,148,13.51351351,0,0,0,0,13.51351351,2005
2,1,951,2,0,0,Menard,68,29.41176471,14.70588235,29.41176471,0,0,110.2941176,2005
7,1,1323,0,2,0,Mercer,362,19.33701657,2.762430939,0,5.524861878,0,40.05524862,2005
7,0,2525,0,0,0,Monroe,189,37.03703704,0,0,0,0,37.03703704,2005
16,1,2298,0,0,0,Montgomery,480,33.33333333,2.083333333,0,0,0,36.45833333,2005
19,9,2769,5,5,0,Morgan,645,29.45736434,13.95348837,7.751937984,7.751937984,0,89.14728682,2005
1,0,1261,0,0,0,Moultrie,133,7.518796992,0,0,0,0,7.518796992,2005
4,1,4309,2,1,0,Ogle,347,11.52737752,2.88184438,5.763688761,2.88184438,0,36.02305476,2005
159,69,18178,25,14,0,Peoria,2668,59.5952024,25.86206897,9.370314843,5.247376312,0,132.8710645,2005
3,1,1721,0,0,0,Perry,247,12.14574899,4.048582996,0,0,0,18.21862348,2005
3,2,1291,1,1,0,Piatt,187,16.04278075,10.69518717,5.347593583,5.347593583,0,58.82352941,2005
10,3,1315,1,1,0,Pike,358,27.93296089,8.379888268,2.793296089,2.793296089,0,54.46927374,2005
0,0,234,0,0,0,Pope,23,0,0,0,0,0,0,2005
1,1,644,0,1,0,Pulaski,54,18.51851852,18.51851852,0,18.51851852,0,101.8518519,2005
1,0,433,0,0,0,Putnam,53,18.86792453,0,0,0,0,18.86792453,2005
19,1,2559,3,1,0,Randolph,361,52.63157895,2.770083102,8.310249307,2.770083102,0,81.71745152,2005
6,2,1290,1,0,0,Richland,251,23.90438247,7.96812749,3.984063745,0,0,43.8247012,2005
130,38,13472,13,14,1,Rock Island,3839,33.86298515,9.898411045,3.386298515,3.646783016,0.260484501,67.7259703,2005
147,52,25318,15,12,0,St. Clair,5274,27.87258248,9.859689041,2.844141069,2.275312856,0,55.17633675,2005
5,2,2163,0,2,0,Saline,558,8.960573477,3.584229391,0,3.584229391,0,25.08960573,2005
72,24,17656,15,5,0,Sangamon,3022,23.82528127,7.941760424,4.963600265,1.654533422,0,50.6287227,2005
2,2,543,0,0,0,Schuyler,99,20.2020202,20.2020202,0,0,0,50.50505051,2005
5,0,397,1,0,0,Scott,134,37.31343284,0,7.462686567,0,0,52.23880597,2005
4,1,1695,0,3,0,Shelby,274,14.59854015,3.649635036,0,10.94890511,0,52.91970803,2005
4,0,499,0,0,0,Stark,139,28.77697842,0,0,0,0,28.77697842,2005
42,16,4079,5,5,0,Stephenson,1131,37.13527851,14.14677277,4.42086649,4.42086649,0,80.45977011,2005
19,3,10969,3,0,1,Tazewell,1103,17.22574796,2.719854941,2.719854941,0,0.906618314,31.27833182,2005
2,1,1459,0,2,1,Union,186,10.75268817,5.376344086,0,10.75268817,5.376344086,77.95698925,2005
42,11,7650,6,8,0,Vermilion,825,50.90909091,13.33333333,7.272727273,9.696969697,0,114.5454545,2005
5,3,988,3,1,0,Wabash,295,16.94915254,10.16949153,10.16949153,3.389830508,0,62.71186441,2005
8,0,1380,1,2,0,Warren,290,27.5862069,0,3.448275862,6.896551724,0,55.17241379,2005
0,0,1165,1,1,0,Washington,100,0,0,10,10,0,50,2005
7,2,1352,2,0,0,Wayne,425,16.47058824,4.705882353,4.705882353,0,0,32.94117647,2005
12,2,1102,0,0,0,White,310,38.70967742,6.451612903,0,0,0,48.38709677,2005
17,12,5166,2,1,0,Whiteside,1377,12.34567901,8.71459695,1.452432825,0.726216412,0,30.50108932,2005
40,11,67427,2,4,0,Will,4415,9.06002265,2.491506229,0.453001133,0.906002265,0,16.42129105,2005
3,0,5205,0,0,0,Williamson,298,10.06711409,0,0,0,0,10.06711409,2005
86,49,27879,11,12,2,Winnebago,4086,21.0474792,11.99216838,2.692119432,2.936857562,0.48947626,55.67792462,2005
2,1,3036,0,0,0,Woodford,123,16.2601626,8.130081301,0,0,0,28.45528455,2005
29,6,6006,4,3,0,Adams,534,54.3071161,11.23595506,7.490636704,5.617977528,0,102.9962547,2004
7,3,846,1,0,0,Alexander,166,42.1686747,18.07228916,6.024096386,0,0,81.3253012,2004
3,0,1411,0,1,0,Bond,256,11.71875,0,0,3.90625,0,23.4375,2004
4,4,4569,0,0,0,Boone,452,8.849557522,8.849557522,0,0,0,22.12389381,2004
3,0,398,0,0,0,Brown,64,46.875,0,0,0,0,46.875,2004
2,1,3022,0,0,0,Bureau,377,5.305039788,2.652519894,0,0,0,9.283819629,2004
1,0,386,0,0,0,Calhoun,64,15.625,0,0,0,0,15.625,2004
2,3,1331,0,2,0,Carroll,272,7.352941176,11.02941176,0,7.352941176,0,45.95588235,2004
9,3,1293,0,1,0,Cass,299,30.10033445,10.03344482,0,3.344481605,0,55.18394649,2004
23,7,14575,2,0,0,Champaign,1748,13.15789474,4.004576659,1.14416476,0,0,21.45308924,2004
8,4,3039,1,1,0,Christian,498,16.06425703,8.032128514,2.008032129,2.008032129,0,38.15261044,2004
9,0,1491,1,0,0,Clark,273,32.96703297,0,3.663003663,0,0,40.29304029,2004
3,3,1240,0,0,0,Clay,313,9.584664537,9.584664537,0,0,0,23.96166134,2004
1,0,3147,0,0,0,Clinton,169,5.917159763,0,0,0,0,5.917159763,2004
7,3,3925,0,0,1,Coles,484,14.46280992,6.198347107,0,0,2.066115702,34.09090909,2004
396,125,241425,57,42,9,CookNotChicago,31189,12.69678412,4.007823271,1.827567412,1.346628619,0.288563276,27.84635609,2004
4121,1155,308416,398,385,47,Chicago,105047,39.23005893,10.99507839,3.78878026,3.665026131,0.447418774,76.5324093,2004
6,2,1581,0,2,0,Crawford,285,21.05263158,7.01754386,0,7.01754386,0,52.63157895,2004
3,0,1021,0,0,0,Cumberland,144,20.83333333,0,0,0,0,20.83333333,2004
